Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Home,RECOVERY,INTERCEPTION,1,378,15.12,378,15.12,Player2,,0.27,0.78,,
Home,BALL LOST,INTERCEPTION,1,378,15.12,452,18.08,Player2,,0.27,0.78,0.59,0.64
Home,CHALLENGE,AERIAL-WON,1,498,19.92,498,19.92,Player2,,0.36,0.67,,
Home,RECOVERY,INTERCEPTION,1,498,19.92,498,19.92,Player2,,0.36,0.67,,
Home,PASS,HEAD,1,498,19.92,536,21.44,Player2,Player9,0.36,0.67,0.53,0.59
Home,PASS,,1,536,21.44,556,22.24,Player9,Player10,0.53,0.59,0.5,0.65
Home,BALL LOST,INTERCEPTION,1,572,22.88,616,24.64,Player10,,0.5,0.65,0.67,0.44
Home,RECOVERY,INTERCEPTION,1,1134,45.36,1134,45.36,Player5,,0.32,0.89,,
Home,PASS,HEAD,1,1134,45.36,1154,46.16,Player5,Player6,0.32,0.89,0.31,0.78
Home,PASS,,1,1154,46.16,1177,47.08,Player6,Player10,0.31,0.78,0.41,0.74
Home,PASS,,1,1226,49.04,1266,50.64,Player10,Player8,0.46,0.68,0.56,0.34
Home,BALL LOST,INTERCEPTION,1,1370,54.8,1375,55.0,Player8,,0.86,0.26,0.88,0.28
Home,SET PIECE,CORNER KICK,1,2143,85.72,2143,85.72,Player6,,,,,
Home,PASS,,1,2143,85.72,2184,87.36,Player6,Player10,1.0,0.01,0.9,0.09
Home,PASS,CROSS,1,2263,90.52,2289,91.56,Player10,Player9,0.89,0.14,0.92,0.47
Home,SHOT,HEAD-ON TARGET-GOAL,1,2289,91.56,2309,92.36,Player9,,0.92,0.47,1.01,0.55
Home,SET PIECE,THROW IN,1,4386,175.44,4386,175.44,Player1,,,,,
Home,PASS,,1,4386,175.44,4445,177.8,Player1,Player10,0.49,1.01,0.55,0.84
Home,BALL LOST,,1,4445,177.8,4453,178.12,Player10,,0.55,0.84,0.57,0.78
Home,RECOVERY,INTERCEPTION,1,4516,180.64,4516,180.64,Player1,,0.5,0.87,,
Home,BALL LOST,INTERCEPTION,1,4620,184.8,4679,187.16,Player1,,0.37,0.97,0.65,0.92
Home,RECOVERY,INTERCEPTION,1,4751,190.04,4751,190.04,Player7,,0.39,0.78,,
Home,BALL OUT,,1,4751,190.04,4836,193.44,Player7,,0.39,0.78,0.67,1.03
Home,RECOVERY,INTERCEPTION,1,5149,205.96,5149,205.96,Player2,,0.24,0.82,,
Home,PASS,,1,5149,205.96,5202,208.08,Player2,Player1,0.24,0.82,0.32,0.89
Home,BALL LOST,INTERCEPTION,1,5202,208.08,5228,209.12,Player1,,0.32,0.89,0.33,0.84
Home,CHALLENGE,GROUND-LOST,1,5228,209.12,5228,209.12,Player6,,0.36,0.82,,
Home,RECOVERY,INTERCEPTION,1,5263,210.52,5263,210.52,Player1,,0.29,0.85,,
Home,BALL LOST,INTERCEPTION,1,5316,212.64,5384,215.36,Player1,,0.26,0.96,0.64,0.88
Home,RECOVERY,,1,5520,220.8,5520,220.8,Player4,,0.3,0.43,,
Home,BALL LOST,INTERCEPTION,1,5520,220.8,5550,222.0,Player4,,0.3,0.43,0.28,0.52
Home,CHALLENGE,TACKLE-WON,1,5627,225.08,5627,225.08,Player1,,0.14,0.6,,
Home,RECOVERY,THEFT,1,5627,225.08,5627,225.08,Player1,,0.14,0.6,,
Home,PASS,,1,5627,225.08,5663,226.52,Player1,Player2,0.14,0.6,0.18,0.53
Home,PASS,,1,5663,226.52,5685,227.4,Player2,Player8,0.18,0.53,0.24,0.4
Home,PASS,,1,5761,230.44,5809,232.36,Player8,Player10,0.39,0.29,0.6,0.09
Home,SHOT,OFF TARGET-OUT,1,5923,236.92,5953,238.12,Player10,,0.84,0.27,1.04,0.6
Home,RECOVERY,,1,6844,273.76,6844,273.76,Player6,,0.54,0.3,,
Home,BALL LOST,INTERCEPTION,1,6864,274.56,6885,275.4,Player6,,0.54,0.3,0.55,0.37
Home,CHALLENGE,GROUND-WON,1,7041,281.64,7041,281.64,Player3,,0.1,0.42,,
Home,RECOVERY,INTERCEPTION,1,7041,281.64,7041,281.64,Player3,,0.1,0.42,,
Home,PASS,,1,7041,281.64,7148,285.92,Player3,Player4,0.1,0.42,0.03,0.03
Home,BALL LOST,,1,7199,287.96,7204,288.16,Player4,,0.1,0.01,0.14,0.02
Home,RECOVERY,,1,7472,298.88,7472,298.88,Player3,,0.2,0.29,,
Home,BALL LOST,,1,7472,298.88,7518,300.72,Player3,,0.2,0.29,0.26,0.26
Home,CHALLENGE,TACKLE-LOST,1,7699,307.96,7699,307.96,Player8,,0.22,0.17,,
Home,RECOVERY,,1,8482,339.28,8482,339.28,Player11,,0.04,0.52,,
Home,BALL LOST,GOAL KICK-INTERCEPTION,1,8482,339.28,8576,343.04,Player11,,0.04,0.52,0.64,0.38
Home,RECOVERY,,1,8581,343.24,8581,343.24,Player10,,0.6,0.37,,
Home,BALL LOST,HEAD,1,8581,343.24,8652,346.08,Player10,,0.6,0.37,0.68,0.35
Home,RECOVERY,,1,8734,349.36,8734,349.36,Player8,,0.64,0.23,,
Home,BALL OUT,,1,8753,350.12,8843,353.72,Player8,,0.65,0.21,0.74,-0.04
Home,RECOVERY,INTERCEPTION,1,9069,362.76,9069,362.76,Player3,,0.09,0.14,,
Home,BALL OUT,,1,9098,363.92,9127,365.08,Player3,,0.02,0.1,0.05,-0.04
Home,RECOVERY,INTERCEPTION,1,9354,374.16,9354,374.16,Player6,,0.22,0.36,,
Home,PASS,,1,9390,375.6,9442,377.68,Player6,Player10,0.29,0.38,0.55,0.13
Home,PASS,DEEP BALL,1,9599,383.96,9628,385.12,Player10,Player8,0.87,0.29,0.96,0.37
Home,SHOT,ON TARGET-SAVED,1,9628,385.12,9632,385.28,Player8,,0.96,0.37,0.98,0.46
Home,SET PIECE,CORNER KICK,1,10387,415.48,10387,415.48,Player6,,,,,
Home,PASS,,1,10387,415.48,10418,416.72,Player6,Player10,0.99,0.01,0.94,0.09
Home,PASS,,1,10453,418.12,10477,419.08,Player10,Player6,0.94,0.09,0.87,0.1
Home,PASS,,1,10493,419.72,10527,421.08,Player6,Player5,0.86,0.11,0.78,0.36
Home,PASS,,1,10551,422.04,10599,423.96,Player5,Player7,0.79,0.36,0.74,0.64
Home,BALL LOST,INTERCEPTION,1,10613,424.52,10651,426.04,Player7,,0.75,0.65,0.92,0.46
Home,CHALLENGE,AERIAL-WON,1,10708,428.32,10708,428.32,Player8,,0.83,0.51,,
Home,RECOVERY,INTERCEPTION,1,10708,428.32,10708,428.32,Player8,,0.83,0.51,,
Home,PASS,HEAD,1,10708,428.32,10742,429.68,Player8,Player3,0.83,0.51,0.83,0.54
Home,BALL LOST,HEAD-INTERCEPTION,1,10742,429.68,10761,430.44,Player3,,0.83,0.54,0.87,0.45
