,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",8812960,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
2,"First Class","Jack Harlow",4651845,https://open.spotify.com/track/1rDQ4oMwGJI7B4tovsBOxc
3,"Heat Waves","Glass Animals",3857287,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
4,PROVENZA,"KAROL G",3227693,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
5,"STAY (with Justin Bieber)","The Kid LAROI",3163131,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
6,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",2983086,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
7,"Cold Heart - PNAU Remix","Elton John",2618170,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
8,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",2572964,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
9,"MIDDLE OF THE NIGHT","Elley Duhé",2572914,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
10,"About Damn Time",Lizzo,2506359,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
11,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",2465780,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
12,MAMIII,"Becky G",2464420,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
13,"Una Noche en Medellín","Cris Mj",2443515,https://open.spotify.com/track/1O2pcBJGej0pmH2Y9XZMs6
14,Ghost,"Justin Bieber",2320043,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
15,"WAIT FOR U (feat. Drake & Tems)",Future,2298410,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK
16,Envolver,Anitta,2227002,https://open.spotify.com/track/3FkeNbs9Zeiqkr3WkbOiGp
17,Shivers,"Ed Sheeran",2170709,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
18,abcdefu,GAYLE,2138225,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
19,Woman,"Doja Cat",2134381,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
20,Desesperados,"Rauw Alejandro",2098153,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
21,"Paulo Londra: Bzrp Music Sessions, Vol. 23",Bizarrap,2010285,https://open.spotify.com/track/2uky0VCI2EZni0nArOPznM
22,"That That (prod. & feat. SUGA of BTS)",PSY,1986030,https://open.spotify.com/track/5oH4DQAuu1J1800RzUsBWa
23,"Where Are You Now","Lost Frequencies",1954191,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
24,"good 4 u","Olivia Rodrigo",1950147,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
25,"X ÚLTIMA VEZ","Daddy Yankee",1949378,https://open.spotify.com/track/48AJSd42lXpicsGqcgopof
26,"Easy On Me",Adele,1935022,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
27,"Fuera del mercado","Danny Ocean",1888907,https://open.spotify.com/track/1UdzJEpgJxtuXAlCOvD4S0
28,"The Motto",Tiësto,1870997,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
29,"Wait a Minute!",WILLOW,1866007,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh
30,"THATS WHAT I WANT","Lil Nas X",1860755,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
31,"Honest (feat. Don Toliver)","Justin Bieber",1850781,https://open.spotify.com/track/2KdKh9vHbKW0tZLqtpxxI0
32,"Bad Habits","Ed Sheeran",1821553,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
33,Jordan,"Ryan Castro",1744940,https://open.spotify.com/track/2rDZhKnPaPG054ExZ6nXUS
34,"Another Love","Tom Odell",1724085,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
35,"Watermelon Sugar","Harry Styles",1721582,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
36,"Thousand Miles","The Kid LAROI",1700185,https://open.spotify.com/track/1r8ZCjfrQxoy2wVaBUbpwg
37,"My Universe",Coldplay,1659843,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
38,"Blinding Lights","The Weeknd",1652400,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
39,Dandelions,"Ruth B.",1646882,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
40,Pepas,Farruko,1641967,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
41,"Sweater Weather","The Neighbourhood",1634548,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
42,"Light Switch","Charlie Puth",1610847,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
43,Boyfriend,"Dove Cameron",1602534,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
44,traitor,"Olivia Rodrigo",1567106,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
45,"PUFFIN ON ZOOTIEZ",Future,1531371,https://open.spotify.com/track/1qMMYpVatbRITKCfq1gasi
46,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,1526197,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
47,"Beautiful Girl",Luciano,1486001,https://open.spotify.com/track/2XRn6Qu0Wd1KvOND8JbaTx
48,Infinity,"Jaymes Young",1481066,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
49,"Kiss Me More (feat. SZA)","Doja Cat",1455086,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
50,"Need to Know","Doja Cat",1424254,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
51,"drivers license","Olivia Rodrigo",1417020,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
52,"I Love You So","The Walters",1399574,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
53,"With you",Jimin,1387676,https://open.spotify.com/track/2gzhQaCTeNgxpeB2TPllyY
54,Yonaguni,"Bad Bunny",1371550,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
55,"In The Stars","Benson Boone",1365177,https://open.spotify.com/track/1ei3hzQmrgealgRKFxIcWn
56,"Levitating (feat. DaBaby)","Dua Lipa",1344338,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
57,"Save Your Tears","The Weeknd",1333098,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
58,"ULTRA SOLO","Polimá Westcoast",1332410,https://open.spotify.com/track/0OTNHGKcqQbk51bOYe462Y
59,505,"Arctic Monkeys",1323740,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
60,"Plan A","Paulo Londra",1317706,https://open.spotify.com/track/2gpQi3hbcUAcEG8m2dlgfB
61,"House of Memories","Panic! At The Disco",1300433,https://open.spotify.com/track/2DgdHcjWmO3qd50RzuBLgZ
62,"Happier Than Ever","Billie Eilish",1297106,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
63,"deja vu","Olivia Rodrigo",1271176,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
64,Bones,"Imagine Dragons",1259381,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G
65,"I'M ON ONE (feat. Drake)",Future,1251199,https://open.spotify.com/track/6wyhUr4Xw8z5uSy0AhoZfU
66,"Save Your Tears (Remix) (with Ariana Grande) - Bonus Track","The Weeknd",1248650,https://open.spotify.com/track/1oFAF1hdPOickyHgbuRjyX
67,Flowers,"Lauren Spencer-Smith",1227307,https://open.spotify.com/track/6Z165JvPnS8PYvGW8oLGLc
68,"Angel Baby","Troye Sivan",1220139,https://open.spotify.com/track/2m6Ko3CY1qXNNja8AlugNc
69,"When You're Gone","Shawn Mendes",1184748,https://open.spotify.com/track/0U1W2LZVUX7qTm7dDpqxh6
70,Pantysito,Alejo,1166145,https://open.spotify.com/track/4srcMdbm2qzVG98tJajHxp
71,"MONTERO (Call Me By Your Name)","Lil Nas X",1152879,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
72,"Without Me",Eminem,1152836,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
73,"No Role Modelz","J. Cole",1151266,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
74,Softcore,"The Neighbourhood",1148182,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
75,Butter,BTS,1139727,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
76,"she's all i wanna be","Tate McRae",1139467,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
77,"Do It To It",ACRAZE,1137470,https://open.spotify.com/track/20on25jryn53hWghthWWW3
78,"LOVE DIVE",IVE,1133433,https://open.spotify.com/track/0Q5VnK2DYzRyfqQRJuUtvi
79,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1129308,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
80,Medallo,Blessd,1123589,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
81,"Yo Voy (feat. Daddy Yankee)","Zion & Lennox",1119390,https://open.spotify.com/track/5gflgO9EPbIBf16n5TKnQS
82,ZOOM,Jessi,1115733,https://open.spotify.com/track/4IaxDf2FixiQXq0mW7key9
